area,pollutant,first_year,last_year,years,period_mean,min_annual_mean,max_annual_mean,unit
Jizzakh City (10 km radius),AER_AI,2018,2025,8,-0.18792297898861623,-0.9658082930412676,0.3066271628540331,dimensionless
Jizzakh City (10 km radius),CH4,2018,2025,8,1906.1269449812837,1884.956382113424,1926.2868904785405,ppb
Jizzakh City (10 km radius),CO,2018,2025,8,0.03210526652336042,0.0300967040097584,0.033456389200944,mol/m^2
Jizzakh City (10 km radius),HCHO,2018,2025,8,0.0001052798730804486,6.637367869428877e-05,0.0001192168968614,mol/m^2
Jizzakh City (10 km radius),NO2,2018,2025,8,5.1827556735052906e-05,4.322972523528713e-05,6.246347472641532e-05,mol/m^2
Jizzakh City (10 km radius),O3,2018,2025,8,0.14112782996465717,0.1345728543499878,0.150338518643234,mol/m^2
Jizzakh City (10 km radius),SO2,2019,2025,7,0.00017969592240134287,0.0001361860205769,0.0002584826504255,mol/m^2
Jizzakh Region,AER_AI,2018,2025,8,-0.3591941246644358,-1.1289260807298536,0.1212650761475744,dimensionless
Jizzakh Region,CH4,2018,2025,8,1902.1553197699338,1877.739010033908,1925.767929053293,ppb
Jizzakh Region,CO,2018,2025,8,0.030750852318039736,0.0287750134980187,0.0321571507251495,mol/m^2
Jizzakh Region,HCHO,2018,2025,8,9.788875234843149e-05,6.144741189826485e-05,0.0001093953610753,mol/m^2
Jizzakh Region,NO2,2018,2025,8,3.0309981453853315e-05,2.6132680101690385e-05,3.4128810526774017e-05,mol/m^2
Jizzakh Region,O3,2018,2025,8,0.14108255736331468,0.1345417066509218,0.1503765333770355,mol/m^2
Jizzakh Region,SO2,2019,2025,7,0.00017305490467121428,0.0001439062948602,0.000230171344374,mol/m^2
