date,year,month,city,gas,concentration,longitude,latitude,population,city_type,region,data_points
2018-06-15,2018,6,Tashkent,NO2,0.0001273201261293,69.2401,41.2995,2500000,Capital,Tashkent,37
2018-06-15,2018,6,Samarkand,NO2,6.171484410884096e-05,66.9597,39.627,520000,Historic,Samarkand,37
2018-06-15,2018,6,Namangan,NO2,4.513436059961547e-05,71.6726,40.9983,480000,Industrial,Fergana Valley,37
2018-06-15,2018,6,Andijan,NO2,6.851334257230616e-05,72.3442,40.7821,450000,Industrial,Fergana Valley,37
2018-06-15,2018,6,Bukhara,NO2,4.843452511008544e-05,64.4207,39.7747,280000,Historic,Central,37
2018-06-15,2018,6,Nukus,NO2,3.211820133274381e-05,59.6103,42.4531,260000,Regional,Karakalpakstan,37
2018-06-15,2018,6,Qarshi,NO2,4.438363933854617e-05,65.7887,38.8569,240000,Regional,Kashkadarya,37
2018-06-15,2018,6,Kokand,NO2,5.364581047110448e-05,70.9428,40.5258,230000,Historic,Fergana Valley,37
2018-06-15,2018,6,Urgench,NO2,5.832996900421911e-05,60.6348,41.55,150000,Regional,Khorezm,37
2018-06-15,2018,6,Margilan,NO2,4.404179245026576e-05,71.7246,40.4731,140000,Industrial,Fergana Valley,37
2018-07-15,2018,7,Tashkent,NO2,0.0001169474326268,69.2401,41.2995,2500000,Capital,Tashkent,426
2018-07-15,2018,7,Samarkand,NO2,5.871853650074914e-05,66.9597,39.627,520000,Historic,Samarkand,426
2018-07-15,2018,7,Namangan,NO2,5.651857761179592e-05,71.6726,40.9983,480000,Industrial,Fergana Valley,426
2018-07-15,2018,7,Andijan,NO2,6.397669112966035e-05,72.3442,40.7821,450000,Industrial,Fergana Valley,426
2018-07-15,2018,7,Bukhara,NO2,4.1258600064458135e-05,64.4207,39.7747,280000,Historic,Central,426
2018-07-15,2018,7,Nukus,NO2,2.491168025365987e-05,59.6103,42.4531,260000,Regional,Karakalpakstan,426
2018-07-15,2018,7,Qarshi,NO2,4.330785064967383e-05,65.7887,38.8569,240000,Regional,Kashkadarya,426
2018-07-15,2018,7,Kokand,NO2,4.830436210223213e-05,70.9428,40.5258,230000,Historic,Fergana Valley,426
2018-07-15,2018,7,Urgench,NO2,3.1714413003591574e-05,60.6348,41.55,150000,Regional,Khorezm,426
2018-07-15,2018,7,Margilan,NO2,4.6056414749247866e-05,71.7246,40.4731,140000,Industrial,Fergana Valley,426
2018-07-15,2018,7,Tashkent,CO,0.0320501925625886,69.2401,41.2995,2500000,Capital,Tashkent,355
2018-07-15,2018,7,Samarkand,CO,0.0291375102081803,66.9597,39.627,520000,Historic,Samarkand,355
2018-07-15,2018,7,Namangan,CO,0.0315997444847386,71.6726,40.9983,480000,Industrial,Fergana Valley,355
2018-07-15,2018,7,Andijan,CO,0.0322533333233857,72.3442,40.7821,450000,Industrial,Fergana Valley,355
2018-07-15,2018,7,Bukhara,CO,0.0296665897629019,64.4207,39.7747,280000,Historic,Central,355
2018-07-15,2018,7,Nukus,CO,0.0309246846495368,59.6103,42.4531,260000,Regional,Karakalpakstan,355
2018-07-15,2018,7,Qarshi,CO,0.0298810867189036,65.7887,38.8569,240000,Regional,Kashkadarya,355
2018-07-15,2018,7,Kokand,CO,0.030793643607362,70.9428,40.5258,230000,Historic,Fergana Valley,355
2018-07-15,2018,7,Urgench,CO,0.0310961145955054,60.6348,41.55,150000,Regional,Khorezm,355
2018-07-15,2018,7,Margilan,CO,0.0311710576479007,71.7246,40.4731,140000,Industrial,Fergana Valley,355
2018-08-15,2018,8,Tashkent,NO2,0.0001058163838264,69.2401,41.2995,2500000,Capital,Tashkent,421
2018-08-15,2018,8,Samarkand,NO2,5.565967322452548e-05,66.9597,39.627,520000,Historic,Samarkand,421
2018-08-15,2018,8,Namangan,NO2,4.579326140427104e-05,71.6726,40.9983,480000,Industrial,Fergana Valley,421
2018-08-15,2018,8,Andijan,NO2,4.855473873546576e-05,72.3442,40.7821,450000,Industrial,Fergana Valley,421
2018-08-15,2018,8,Bukhara,NO2,3.4943895825359335e-05,64.4207,39.7747,280000,Historic,Central,421
2018-08-15,2018,8,Nukus,NO2,2.610041970269167e-05,59.6103,42.4531,260000,Regional,Karakalpakstan,421
2018-08-15,2018,8,Qarshi,NO2,4.109112500619252e-05,65.7887,38.8569,240000,Regional,Kashkadarya,421
2018-08-15,2018,8,Kokand,NO2,4.766094285179582e-05,70.9428,40.5258,230000,Historic,Fergana Valley,421
2018-08-15,2018,8,Urgench,NO2,3.1086644304028e-05,60.6348,41.55,150000,Regional,Khorezm,421
2018-08-15,2018,8,Margilan,NO2,4.434398565769026e-05,71.7246,40.4731,140000,Industrial,Fergana Valley,421
2018-08-15,2018,8,Tashkent,CO,0.0329294952712343,69.2401,41.2995,2500000,Capital,Tashkent,422
2018-08-15,2018,8,Samarkand,CO,0.0298774889856983,66.9597,39.627,520000,Historic,Samarkand,422
2018-08-15,2018,8,Namangan,CO,0.0324479682145249,71.6726,40.9983,480000,Industrial,Fergana Valley,422
2018-08-15,2018,8,Andijan,CO,0.0325649565758558,72.3442,40.7821,450000,Industrial,Fergana Valley,422
2018-08-15,2018,8,Bukhara,CO,0.0309393304846182,64.4207,39.7747,280000,Historic,Central,422
2018-08-15,2018,8,Nukus,CO,0.0322367692767475,59.6103,42.4531,260000,Regional,Karakalpakstan,422
2018-08-15,2018,8,Qarshi,CO,0.0303520171528934,65.7887,38.8569,240000,Regional,Kashkadarya,422
2018-08-15,2018,8,Kokand,CO,0.0317968287896652,70.9428,40.5258,230000,Historic,Fergana Valley,422
2018-08-15,2018,8,Urgench,CO,0.0320846503363553,60.6348,41.55,150000,Regional,Khorezm,422
2018-08-15,2018,8,Margilan,CO,0.0318083000479948,71.7246,40.4731,140000,Industrial,Fergana Valley,422
2018-09-15,2018,9,Tashkent,NO2,0.0001475606851708,69.2401,41.2995,2500000,Capital,Tashkent,414
2018-09-15,2018,9,Samarkand,NO2,6.940655901387407e-05,66.9597,39.627,520000,Historic,Samarkand,414
2018-09-15,2018,9,Namangan,NO2,5.216109584528979e-05,71.6726,40.9983,480000,Industrial,Fergana Valley,414
2018-09-15,2018,9,Andijan,NO2,5.944848059871521e-05,72.3442,40.7821,450000,Industrial,Fergana Valley,414
2018-09-15,2018,9,Bukhara,NO2,4.0357221142851535e-05,64.4207,39.7747,280000,Historic,Central,414
2018-09-15,2018,9,Nukus,NO2,2.2352120305189868e-05,59.6103,42.4531,260000,Regional,Karakalpakstan,414
2018-09-15,2018,9,Qarshi,NO2,4.3743566406106856e-05,65.7887,38.8569,240000,Regional,Kashkadarya,414
2018-09-15,2018,9,Kokand,NO2,5.587772044458707e-05,70.9428,40.5258,230000,Historic,Fergana Valley,414
2018-09-15,2018,9,Urgench,NO2,2.839280568847013e-05,60.6348,41.55,150000,Regional,Khorezm,414
2018-09-15,2018,9,Margilan,NO2,4.689419935497265e-05,71.7246,40.4731,140000,Industrial,Fergana Valley,414
2018-09-15,2018,9,Tashkent,CO,0.0345086077375357,69.2401,41.2995,2500000,Capital,Tashkent,425
2018-09-15,2018,9,Samarkand,CO,0.0303680545072531,66.9597,39.627,520000,Historic,Samarkand,425
2018-09-15,2018,9,Namangan,CO,0.0321720974120756,71.6726,40.9983,480000,Industrial,Fergana Valley,425
2018-09-15,2018,9,Andijan,CO,0.0331075753205723,72.3442,40.7821,450000,Industrial,Fergana Valley,425
2018-09-15,2018,9,Bukhara,CO,0.0321809910130505,64.4207,39.7747,280000,Historic,Central,425
2018-09-15,2018,9,Nukus,CO,0.0335230656195987,59.6103,42.4531,260000,Regional,Karakalpakstan,425
2018-09-15,2018,9,Qarshi,CO,0.0310058972906517,65.7887,38.8569,240000,Regional,Kashkadarya,425
2018-09-15,2018,9,Kokand,CO,0.0330901629806189,70.9428,40.5258,230000,Historic,Fergana Valley,425
2018-09-15,2018,9,Urgench,CO,0.0320941244577208,60.6348,41.55,150000,Regional,Khorezm,425
2018-09-15,2018,9,Margilan,CO,0.0322872187397095,71.7246,40.4731,140000,Industrial,Fergana Valley,425
2018-10-15,2018,10,Tashkent,NO2,0.0002339903468594,69.2401,41.2995,2500000,Capital,Tashkent,427
2018-10-15,2018,10,Samarkand,NO2,8.247834327784009e-05,66.9597,39.627,520000,Historic,Samarkand,427
2018-10-15,2018,10,Namangan,NO2,7.114471402143242e-05,71.6726,40.9983,480000,Industrial,Fergana Valley,427
2018-10-15,2018,10,Andijan,NO2,9.882298154937442e-05,72.3442,40.7821,450000,Industrial,Fergana Valley,427
2018-10-15,2018,10,Bukhara,NO2,5.922727711774517e-05,64.4207,39.7747,280000,Historic,Central,427
2018-10-15,2018,10,Nukus,NO2,2.731788859916382e-05,59.6103,42.4531,260000,Regional,Karakalpakstan,427
2018-10-15,2018,10,Qarshi,NO2,5.950099140773694e-05,65.7887,38.8569,240000,Regional,Kashkadarya,427
2018-10-15,2018,10,Kokand,NO2,7.758719649038585e-05,70.9428,40.5258,230000,Historic,Fergana Valley,427
2018-10-15,2018,10,Urgench,NO2,3.113656836142476e-05,60.6348,41.55,150000,Regional,Khorezm,427
2018-10-15,2018,10,Margilan,NO2,7.45706589627019e-05,71.7246,40.4731,140000,Industrial,Fergana Valley,427
2018-10-15,2018,10,Tashkent,CO,0.0311758220836089,69.2401,41.2995,2500000,Capital,Tashkent,432
2018-10-15,2018,10,Samarkand,CO,0.0278927657958103,66.9597,39.627,520000,Historic,Samarkand,432
2018-10-15,2018,10,Namangan,CO,0.0312883217544368,71.6726,40.9983,480000,Industrial,Fergana Valley,432
2018-10-15,2018,10,Andijan,CO,0.0313144190839403,72.3442,40.7821,450000,Industrial,Fergana Valley,432
2018-10-15,2018,10,Bukhara,CO,0.0289654745083429,64.4207,39.7747,280000,Historic,Central,432
2018-10-15,2018,10,Nukus,CO,0.029888869605807,59.6103,42.4531,260000,Regional,Karakalpakstan,432
2018-10-15,2018,10,Qarshi,CO,0.0282168331765152,65.7887,38.8569,240000,Regional,Kashkadarya,432
2018-10-15,2018,10,Kokand,CO,0.0307967745595557,70.9428,40.5258,230000,Historic,Fergana Valley,432
2018-10-15,2018,10,Urgench,CO,0.0298599995058631,60.6348,41.55,150000,Regional,Khorezm,432
2018-10-15,2018,10,Margilan,CO,0.0313560289103027,71.7246,40.4731,140000,Industrial,Fergana Valley,432
2018-11-15,2018,11,Tashkent,NO2,0.0002881065587855,69.2401,41.2995,2500000,Capital,Tashkent,425
2018-11-15,2018,11,Samarkand,NO2,9.699760149042868e-05,66.9597,39.627,520000,Historic,Samarkand,425
2018-11-15,2018,11,Namangan,NO2,0.0001017630403486,71.6726,40.9983,480000,Industrial,Fergana Valley,425
2018-11-15,2018,11,Andijan,NO2,0.0001089537978958,72.3442,40.7821,450000,Industrial,Fergana Valley,425
2018-11-15,2018,11,Bukhara,NO2,7.691454331398143e-05,64.4207,39.7747,280000,Historic,Central,425
2018-11-15,2018,11,Nukus,NO2,2.761793624808597e-05,59.6103,42.4531,260000,Regional,Karakalpakstan,425
2018-11-15,2018,11,Qarshi,NO2,6.252478318557405e-05,65.7887,38.8569,240000,Regional,Kashkadarya,425
2018-11-15,2018,11,Kokand,NO2,8.812236399964242e-05,70.9428,40.5258,230000,Historic,Fergana Valley,425
2018-11-15,2018,11,Urgench,NO2,2.98602347863103e-05,60.6348,41.55,150000,Regional,Khorezm,425
2018-11-15,2018,11,Margilan,NO2,9.62614348231424e-05,71.7246,40.4731,140000,Industrial,Fergana Valley,425
2018-11-15,2018,11,Tashkent,CO,0.0337944652730993,69.2401,41.2995,2500000,Capital,Tashkent,425
2018-11-15,2018,11,Samarkand,CO,0.0282157398617816,66.9597,39.627,520000,Historic,Samarkand,425
2018-11-15,2018,11,Namangan,CO,0.0333269688045012,71.6726,40.9983,480000,Industrial,Fergana Valley,425
2018-11-15,2018,11,Andijan,CO,0.0346073301403066,72.3442,40.7821,450000,Industrial,Fergana Valley,425
2018-11-15,2018,11,Bukhara,CO,0.0307809664127544,64.4207,39.7747,280000,Historic,Central,425
2018-11-15,2018,11,Nukus,CO,0.0306607779693594,59.6103,42.4531,260000,Regional,Karakalpakstan,425
