region,boundary_feature_count,factor_total,factor_co2,factor_ch4,factor_n2o,estimated_total_gg_2022,estimated_co2_gg_2022,estimated_ch4_gg_2022,estimated_n2o_gg_2022
Qoraqalpog‘iston respublikasi,16,0.38025057720585803,0.3802505772058579,0.3802505772058579,0.3802505772058579,72663.02315794483,46006.84625288603,22465.336808773533,4190.840096285257
Navoiy viloyati,20,0.24815527003919013,0.2481552700391901,0.24815527003919005,0.24815527003919008,47420.604239771645,30024.520776350193,14661.099960104593,2734.9835033168542
Buxoro viloyati,14,0.08735603121901886,0.08735603121901887,0.08735603121901883,0.08735603121901885,16693.080037107517,10569.281780156098,5161.024811674528,962.7734452768924
Qashqadaryo viloyati,20,0.06094096198758427,0.06094096198758427,0.060940961987584245,0.060940961987584245,11645.359133206472,7373.29970480994,3600.413302622211,671.6461257743208
Jizzax viloyati,24,0.04598351220615732,0.04598351220615732,0.0459835122061573,0.045983512206157304,8787.103064700286,5563.584917561032,2716.721949385533,506.79619775372106
Surxondaryo viloyati,16,0.04255021857305399,0.04255021857305399,0.042550218573053966,0.04255021857305396,8131.026493815416,5148.187751092867,2513.8817633223102,468.9569794002381
Samarqand viloyati,12,0.03644214966764921,0.0364421496676492,0.036442149667649186,0.03644214966764919,6963.8205014272135,4409.167210748339,2153.014920674948,401.6383700039257
Toshkent viloyati,16,0.033467959252925956,0.03346795925292596,0.03346795925292594,0.03346795925292594,6395.475099904853,4049.317339796266,1977.298712980644,368.8590471279433
Namangan viloyati,12,0.01632145209690405,0.01632145209690405,0.016321452096904044,0.016321452096904047,3118.90664414843,1974.7466072604848,964.2770860718728,179.8829508160726
Farg‘ona viloyati,6,0.014764493356310674,0.014764493356310675,0.01476449335631067,0.014764493356310672,2821.3835480494763,1786.3688224667817,872.2914202990157,162.7233052836792
Xorazm viloyati,16,0.014132394722309092,0.014132394722309092,0.014132394722309087,0.014132394722309085,2700.5942568981923,1709.8906619736117,834.946812399779,155.7567825248015
Andijon viloyati,14,0.009375020792718224,0.009375020792718224,0.009375020792718222,0.009375020792718222,1791.4959077069457,1134.2918751039635,553.8795003160492,103.32453228693284
Sirdaryo viloyati,12,0.009308484094402268,0.00930848409440227,0.009308484094402266,0.009308484094402264,1778.7812454804946,1126.2415424204721,549.9484889582349,102.5912141017878
Toshkent shahri,6,0.0009514747859181731,0.0009514747859181732,0.0009514747859181729,0.0009514747859181732,181.81966983824924,115.11975737392959,56.21346241674594,10.48645004757374
